Date,Clients per Month,.COM Clients per Day,.ORG Clients per Day,.EDU Clients per Day,.NET Clients per Day,.Gov Clients per Day,Requests per Month,.COM Requests per Day,.ORG Requests per Day,.EDU Requests per Day,.NET Requests per Day,.Gov Requests per Day,Values per Month without log scale,.COM Values per Day,,.EDU Values per Day,.NET Values per Day,.Gov Values per Day
11/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2014,0,0,0,0,0,0,720,0,0,0,1,0,0,0,0,0,0,0
12/2/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2015,1,0,0,0,0,0,653,0,0,0,0,0,260155,0,0,0,0,0
